"Country","alpha.3","country.code","region","sub.region","Year","Total"
"Belarus","BLR","112","Europe","Eastern Europe",2019,9452000
"Belgium","BEL","056","Europe","Western Europe",2018,11482000
"Belgium","BEL","056","Europe","Western Europe",2019,11539000
"Belize","BLZ","084","Americas","Latin America and the Caribbean",2018,383000
"Belize","BLZ","084","Americas","Latin America and the Caribbean",2019,390000
"Benin","BEN","204","Africa","Sub-Saharan Africa",2018,11485000
"Benin","BEN","204","Africa","Sub-Saharan Africa",2019,11801000
"Bermuda","BMU","060","Americas","Northern America",2018,63000
"Bermuda","BMU","060","Americas","Northern America",2019,63000
"Bhutan","BTN","064","Asia","Southern Asia",2018,754000
"Bhutan","BTN","064","Asia","Southern Asia",2019,763000
"Bolivia","BOL","068","Americas","Latin America and the Caribbean",2018,11353000
"Bolivia","BOL","068","Americas","Latin America and the Caribbean",2019,11513000
"Bonaire Sint Eustatius and Saba","BES","535","Americas","Latin America and the Caribbean",2018,26000
"Bonaire Sint Eustatius and Saba","BES","535","Americas","Latin America and the Caribbean",2019,26000
"Bosnia and Herzegovina","BIH","070","Europe","Southern Europe",2018,3324000
"Bosnia and Herzegovina","BIH","070","Europe","Southern Europe",2019,3301000
"Botswana","BWA","072","Africa","Sub-Saharan Africa",2018,2254000
"Botswana","BWA","072","Africa","Sub-Saharan Africa",2019,2304000
"Brazil","BRA","076","Americas","Latin America and the Caribbean",2018,209468992
"Brazil","BRA","076","Americas","Latin America and the Caribbean",2019,211050000
"British Virgin Islands","VGB","092","Americas","Latin America and the Caribbean",2018,30000
"British Virgin Islands","VGB","092","Americas","Latin America and the Caribbean",2019,30000
"Brunei","BRN","096","Asia","South-eastern Asia",2018,429000
"Brunei","BRN","096","Asia","South-eastern Asia",2019,433000
"Bulgaria","BGR","100","Europe","Eastern Europe",2018,7052000
"Bulgaria","BGR","100","Europe","Eastern Europe",2019,7e+06
"Burkina Faso","BFA","854","Africa","Sub-Saharan Africa",2018,19751000
"Burkina Faso","BFA","854","Africa","Sub-Saharan Africa",2019,20321000
"Burundi","BDI","108","Africa","Sub-Saharan Africa",2018,11175000
"Burundi","BDI","108","Africa","Sub-Saharan Africa",2019,11531000
"Cambodia","KHM","116","Asia","South-eastern Asia",2018,16250000
"Cambodia","KHM","116","Asia","South-eastern Asia",2019,16487000
"Cameroon","CMR","120","Africa","Sub-Saharan Africa",2018,25216000
"Cameroon","CMR","120","Africa","Sub-Saharan Africa",2019,25876000
"Canada","CAN","124","Americas","Northern America",2018,37075000
"Canada","CAN","124","Americas","Northern America",2019,37411000
"Cape Verde","CPV","132","Africa","Sub-Saharan Africa",2018,544000
"Cape Verde","CPV","132","Africa","Sub-Saharan Africa",2019,550000
"Cayman Islands","CYM","136","Americas","Latin America and the Caribbean",2018,64000
"Cayman Islands","CYM","136","Americas","Latin America and the Caribbean",2019,65000
"Central African Republic","CAF","140","Africa","Sub-Saharan Africa",2018,4666000
"Central African Republic","CAF","140","Africa","Sub-Saharan Africa",2019,4745000
"Chad","TCD","148","Africa","Sub-Saharan Africa",2018,15478000
"Chad","TCD","148","Africa","Sub-Saharan Africa",2019,15947000
"Channel Islands","OWID_CIS",NA,NA,NA,2018,170000
"Channel Islands","OWID_CIS",NA,NA,NA,2019,172000
"Chile","CHL","152","Americas","Latin America and the Caribbean",2018,18729000
"Chile","CHL","152","Americas","Latin America and the Caribbean",2019,18952000
"China","CHN","156","Asia","Eastern Asia",2018,1427648000
"China","CHN","156","Asia","Eastern Asia",2019,1433784064
"Colombia","COL","170","Americas","Latin America and the Caribbean",2018,49661000
"Colombia","COL","170","Americas","Latin America and the Caribbean",2019,50339000
"Comoros","COM","174","Africa","Sub-Saharan Africa",2018,832000
"Comoros","COM","174","Africa","Sub-Saharan Africa",2019,851000
"Congo","COG","178","Africa","Sub-Saharan Africa",2018,5244000
"Congo","COG","178","Africa","Sub-Saharan Africa",2019,5381000
"Cook Islands","COK","184","Oceania","Polynesia",2018,18000
"Cook Islands","COK","184","Oceania","Polynesia",2019,18000
"Costa Rica","CRI","188","Americas","Latin America and the Caribbean",2018,4999000
"Costa Rica","CRI","188","Americas","Latin America and the Caribbean",2019,5048000
"Cote d'Ivoire","CIV","384","Africa","Sub-Saharan Africa",2018,25069000
"Cote d'Ivoire","CIV","384","Africa","Sub-Saharan Africa",2019,25717000
"Croatia","HRV","191","Europe","Southern Europe",2018,4156000
"Croatia","HRV","191","Europe","Southern Europe",2019,4130000
"Cuba","CUB","192","Americas","Latin America and the Caribbean",2018,11338000
"Cuba","CUB","192","Americas","Latin America and the Caribbean",2019,11333000
"Curacao","CUW","531","Americas","Latin America and the Caribbean",2018,163000
"Curacao","CUW","531","Americas","Latin America and the Caribbean",2019,163000
"Cyprus","CYP","196","Asia","Western Asia",2018,1189000
"Cyprus","CYP","196","Asia","Western Asia",2019,1199000
"Czechia","CZE","203","Europe","Eastern Europe",2018,10666000
"Czechia","CZE","203","Europe","Eastern Europe",2019,10689000
"Democratic Republic of Congo","COD","180","Africa","Sub-Saharan Africa",2018,84068000
"Democratic Republic of Congo","COD","180","Africa","Sub-Saharan Africa",2019,86791000
"Denmark","DNK","208","Europe","Northern Europe",2018,5752000
"Denmark","DNK","208","Europe","Northern Europe",2019,5772000
"Djibouti","DJI","262","Africa","Sub-Saharan Africa",2018,959000
"Djibouti","DJI","262","Africa","Sub-Saharan Africa",2019,974000
"Dominica","DMA","212","Americas","Latin America and the Caribbean",2018,72000
"Dominica","DMA","212","Americas","Latin America and the Caribbean",2019,72000
"Dominican Republic","DOM","214","Americas","Latin America and the Caribbean",2018,10627000
"Dominican Republic","DOM","214","Americas","Latin America and the Caribbean",2019,10739000
"Ecuador","ECU","218","Americas","Latin America and the Caribbean",2018,17084000
"Ecuador","ECU","218","Americas","Latin America and the Caribbean",2019,17374000
"Egypt","EGY","818","Africa","Northern Africa",2018,98424000
"Egypt","EGY","818","Africa","Northern Africa",2019,100388000
"El Salvador","SLV","222","Americas","Latin America and the Caribbean",2018,6421000
"El Salvador","SLV","222","Americas","Latin America and the Caribbean",2019,6454000
"Equatorial Guinea","GNQ","226","Africa","Sub-Saharan Africa",2018,1309000
"Equatorial Guinea","GNQ","226","Africa","Sub-Saharan Africa",2019,1356000
"Eritrea","ERI","232","Africa","Sub-Saharan Africa",2018,3453000
"Eritrea","ERI","232","Africa","Sub-Saharan Africa",2019,3497000
"Estonia","EST","233","Europe","Northern Europe",2018,1323000
"Estonia","EST","233","Europe","Northern Europe",2019,1326000
"Eswatini","SWZ","748","Africa","Sub-Saharan Africa",2018,1136000
"Eswatini","SWZ","748","Africa","Sub-Saharan Africa",2019,1148000
"Ethiopia","ETH","231","Africa","Sub-Saharan Africa",2018,109224000
"Ethiopia","ETH","231","Africa","Sub-Saharan Africa",2019,112079000
"Europe",NA,NA,NA,NA,2018,746419008
"Europe",NA,NA,NA,NA,2019,747182976
"Faeroe Islands","FRO","234","Europe","Northern Europe",2018,48000
"Faeroe Islands","FRO","234","Europe","Northern Europe",2019,49000
"Falkland Islands","FLK","238","Americas","Latin America and the Caribbean",2018,3000
"Falkland Islands","FLK","238","Americas","Latin America and the Caribbean",2019,3000
"Fiji","FJI","242","Oceania","Melanesia",2018,883000
"Fiji","FJI","242","Oceania","Melanesia",2019,890000
"Finland","FIN","246","Europe","Northern Europe",2018,5523000
"Finland","FIN","246","Europe","Northern Europe",2019,5532000
"France","FRA","250","Europe","Western Europe",2018,64991000
"France","FRA","250","Europe","Western Europe",2019,65130000
"French Guiana","GUF","254","Americas","Latin America and the Caribbean",2018,283000
"French Guiana","GUF","254","Americas","Latin America and the Caribbean",2019,291000
"French Polynesia","PYF","258","Oceania","Polynesia",2018,278000
"French Polynesia","PYF","258","Oceania","Polynesia",2019,279000
"Gabon","GAB","266","Africa","Sub-Saharan Africa",2018,2119000
"Gabon","GAB","266","Africa","Sub-Saharan Africa",2019,2173000
"Gambia","GMB","270","Africa","Sub-Saharan Africa",2018,2280000
"Gambia","GMB","270","Africa","Sub-Saharan Africa",2019,2348000
"Georgia","GEO","268","Asia","Western Asia",2018,4003000
"Georgia","GEO","268","Asia","Western Asia",2019,3997000
"Germany","DEU","276","Europe","Western Europe",2018,83124000
"Germany","DEU","276","Europe","Western Europe",2019,83517000
"Ghana","GHA","288","Africa","Sub-Saharan Africa",2018,29767000
"Ghana","GHA","288","Africa","Sub-Saharan Africa",2019,30418000
"Gibraltar","GIB","292","Europe","Southern Europe",2018,34000
"Gibraltar","GIB","292","Europe","Southern Europe",2019,34000
"Greece","GRC","300","Europe","Southern Europe",2018,10522000
"Greece","GRC","300","Europe","Southern Europe",2019,10473000
"Greenland","GRL","304","Americas","Northern America",2018,57000
"Greenland","GRL","304","Americas","Northern America",2019,57000
"Grenada","GRD","308","Americas","Latin America and the Caribbean",2018,111000
"Grenada","GRD","308","Americas","Latin America and the Caribbean",2019,112000
"Guadeloupe","GLP","312","Americas","Latin America and the Caribbean",2018,4e+05
"Guadeloupe","GLP","312","Americas","Latin America and the Caribbean",2019,4e+05
"Guam","GUM","316","Oceania","Micronesia",2018,166000
"Guam","GUM","316","Oceania","Micronesia",2019,167000
"Guatemala","GTM","320","Americas","Latin America and the Caribbean",2018,17248000
"Guatemala","GTM","320","Americas","Latin America and the Caribbean",2019,17581000
"Guinea","GIN","324","Africa","Sub-Saharan Africa",2018,12414000
"Guinea","GIN","324","Africa","Sub-Saharan Africa",2019,12771000
"Guinea-Bissau","GNB","624","Africa","Sub-Saharan Africa",2018,1874000
"Guinea-Bissau","GNB","624","Africa","Sub-Saharan Africa",2019,1921000
"Guyana","GUY","328","Americas","Latin America and the Caribbean",2018,779000
"Guyana","GUY","328","Americas","Latin America and the Caribbean",2019,783000
"Haiti","HTI","332","Americas","Latin America and the Caribbean",2018,11123000
"Haiti","HTI","332","Americas","Latin America and the Caribbean",2019,11263000
"Honduras","HND","340","Americas","Latin America and the Caribbean",2018,9588000
"Honduras","HND","340","Americas","Latin America and the Caribbean",2019,9746000
"Hong Kong","HKG","344","Asia","Eastern Asia",2018,7372000
"Hong Kong","HKG","344","Asia","Eastern Asia",2019,7436000
"Hungary","HUN","348","Europe","Eastern Europe",2018,9708000
"Hungary","HUN","348","Europe","Eastern Europe",2019,9685000
"Iceland","ISL","352","Europe","Northern Europe",2018,337000
"Iceland","ISL","352","Europe","Northern Europe",2019,339000
"India","IND","356","Asia","Southern Asia",2018,1352642048
"India","IND","356","Asia","Southern Asia",2019,1366418048
"Indonesia","IDN","360","Asia","South-eastern Asia",2018,267671008
"Indonesia","IDN","360","Asia","South-eastern Asia",2019,270625984
"Iran","IRN","364","Asia","Southern Asia",2018,81800000
"Iran","IRN","364","Asia","Southern Asia",2019,82914000
"Iraq","IRQ","368","Asia","Western Asia",2018,38434000
"Iraq","IRQ","368","Asia","Western Asia",2019,39310000
"Ireland","IRL","372","Europe","Northern Europe",2018,4819000
"Ireland","IRL","372","Europe","Northern Europe",2019,4882000
"Isle of Man","IMN","833","Europe","Northern Europe",2018,84000
"Isle of Man","IMN","833","Europe","Northern Europe",2019,85000
"Israel","ISR","376","Asia","Western Asia",2018,8382000
"Israel","ISR","376","Asia","Western Asia",2019,8519000
"Italy","ITA","380","Europe","Southern Europe",2018,60627000
"Italy","ITA","380","Europe","Southern Europe",2019,60550000
"Jamaica","JAM","388","Americas","Latin America and the Caribbean",2018,2935000
"Jamaica","JAM","388","Americas","Latin America and the Caribbean",2019,2948000
"Japan","JPN","392","Asia","Eastern Asia",2018,127202000
"Japan","JPN","392","Asia","Eastern Asia",2019,126860000
"Jordan","JOR","400","Asia","Western Asia",2018,9965000
"Jordan","JOR","400","Asia","Western Asia",2019,10102000
"Kazakhstan","KAZ","398","Asia","Central Asia",2018,18320000
"Kazakhstan","KAZ","398","Asia","Central Asia",2019,18551000
"Kenya","KEN","404","Africa","Sub-Saharan Africa",2018,51393000
"Kenya","KEN","404","Africa","Sub-Saharan Africa",2019,52574000
"Kiribati","KIR","296","Oceania","Micronesia",2018,116000
"Kiribati","KIR","296","Oceania","Micronesia",2019,118000
"Kuwait","KWT","414","Asia","Western Asia",2018,4137000
"Kuwait","KWT","414","Asia","Western Asia",2019,4207000
"Kyrgyzstan","KGZ","417","Asia","Central Asia",2018,6304000
"Kyrgyzstan","KGZ","417","Asia","Central Asia",2019,6416000
"Laos","LAO","418","Asia","South-eastern Asia",2018,7061000
"Laos","LAO","418","Asia","South-eastern Asia",2019,7169000
"Latin America",NA,NA,NA,NA,2018,642217024
"Latin America",NA,NA,NA,NA,2019,648121024
"Latvia","LVA","428","Europe","Northern Europe",2018,1928000
"Latvia","LVA","428","Europe","Northern Europe",2019,1907000
"Lebanon","LBN","422","Asia","Western Asia",2018,6859000
"Lebanon","LBN","422","Asia","Western Asia",2019,6856000
"Lesotho","LSO","426","Africa","Sub-Saharan Africa",2018,2108000
"Lesotho","LSO","426","Africa","Sub-Saharan Africa",2019,2125000
"Liberia","LBR","430","Africa","Sub-Saharan Africa",2018,4819000
"Liberia","LBR","430","Africa","Sub-Saharan Africa",2019,4937000
"Libya","LBY","434","Africa","Northern Africa",2018,6679000
"Libya","LBY","434","Africa","Northern Africa",2019,6777000
"Liechtenstein","LIE","438","Europe","Western Europe",2018,38000
"Liechtenstein","LIE","438","Europe","Western Europe",2019,38000
"Lithuania","LTU","440","Europe","Northern Europe",2018,2801000
"Lithuania","LTU","440","Europe","Northern Europe",2019,2760000
"Luxembourg","LUX","442","Europe","Western Europe",2018,604000
"Luxembourg","LUX","442","Europe","Western Europe",2019,616000
"Macao","MAC","446","Asia","Eastern Asia",2018,632000
"Macao","MAC","446","Asia","Eastern Asia",2019,640000
"Madagascar","MDG","450","Africa","Sub-Saharan Africa",2018,26262000
"Madagascar","MDG","450","Africa","Sub-Saharan Africa",2019,26969000
"Malawi","MWI","454","Africa","Sub-Saharan Africa",2018,18143000
"Malawi","MWI","454","Africa","Sub-Saharan Africa",2019,18629000
"Malaysia","MYS","458","Asia","South-eastern Asia",2018,31528000
"Malaysia","MYS","458","Asia","South-eastern Asia",2019,31950000
"Maldives","MDV","462","Asia","Southern Asia",2018,516000
"Maldives","MDV","462","Asia","Southern Asia",2019,531000
"Mali","MLI","466","Africa","Sub-Saharan Africa",2018,19078000
"Mali","MLI","466","Africa","Sub-Saharan Africa",2019,19658000
"Malta","MLT","470","Europe","Southern Europe",2018,439000
"Malta","MLT","470","Europe","Southern Europe",2019,440000
"Marshall Islands","MHL","584","Oceania","Micronesia",2018,58000
"Marshall Islands","MHL","584","Oceania","Micronesia",2019,59000
"Martinique","MTQ","474","Americas","Latin America and the Caribbean",2018,376000
"Martinique","MTQ","474","Americas","Latin America and the Caribbean",2019,376000
"Mauritania","MRT","478","Africa","Sub-Saharan Africa",2018,4403000
"Mauritania","MRT","478","Africa","Sub-Saharan Africa",2019,4526000
"Mauritius","MUS","480","Africa","Sub-Saharan Africa",2018,1267000
"Mauritius","MUS","480","Africa","Sub-Saharan Africa",2019,1270000
"Mayotte","MYT","175","Africa","Sub-Saharan Africa",2018,260000
"Mayotte","MYT","175","Africa","Sub-Saharan Africa",2019,266000
"Mexico","MEX","484","Americas","Latin America and the Caribbean",2018,126191000
"Mexico","MEX","484","Americas","Latin America and the Caribbean",2019,127576000
"Micronesia (country)","FSM","583","Oceania","Micronesia",2018,113000
"Micronesia (country)","FSM","583","Oceania","Micronesia",2019,114000
"Moldova","MDA","498","Europe","Eastern Europe",2018,4052000
"Moldova","MDA","498","Europe","Eastern Europe",2019,4043000
"Monaco","MCO","492","Europe","Western Europe",2018,39000
"Monaco","MCO","492","Europe","Western Europe",2019,39000
"Mongolia","MNG","496","Asia","Eastern Asia",2018,3170000
"Mongolia","MNG","496","Asia","Eastern Asia",2019,3225000
"Montenegro","MNE","499","Europe","Southern Europe",2018,628000
"Montenegro","MNE","499","Europe","Southern Europe",2019,628000
"Montserrat","MSR","500","Americas","Latin America and the Caribbean",2018,5000
"Montserrat","MSR","500","Americas","Latin America and the Caribbean",2019,5000
"Morocco","MAR","504","Africa","Northern Africa",2018,36029000
"Morocco","MAR","504","Africa","Northern Africa",2019,36472000
"Mozambique","MOZ","508","Africa","Sub-Saharan Africa",2018,29496000
"Mozambique","MOZ","508","Africa","Sub-Saharan Africa",2019,30366000
"Myanmar","MMR","104","Asia","South-eastern Asia",2018,53708000
"Myanmar","MMR","104","Asia","South-eastern Asia",2019,54045000
"Namibia","NAM","516","Africa","Sub-Saharan Africa",2018,2448000
"Namibia","NAM","516","Africa","Sub-Saharan Africa",2019,2495000
"Nauru","NRU","520","Oceania","Micronesia",2018,11000
"Nauru","NRU","520","Oceania","Micronesia",2019,11000
"Nepal","NPL","524","Asia","Southern Asia",2018,28096000
"Nepal","NPL","524","Asia","Southern Asia",2019,28609000
"Netherlands","NLD","528","Europe","Western Europe",2018,17060000
"Netherlands","NLD","528","Europe","Western Europe",2019,17097000
"New Caledonia","NCL","540","Oceania","Melanesia",2018,280000
"New Caledonia","NCL","540","Oceania","Melanesia",2019,283000
"New Zealand","NZL","554","Oceania","Australia and New Zealand",2018,4743000
"New Zealand","NZL","554","Oceania","Australia and New Zealand",2019,4783000
"Nicaragua","NIC","558","Americas","Latin America and the Caribbean",2018,6466000
"Nicaragua","NIC","558","Americas","Latin America and the Caribbean",2019,6546000
"Niger","NER","562","Africa","Sub-Saharan Africa",2018,22443000
"Niger","NER","562","Africa","Sub-Saharan Africa",2019,23311000
"Nigeria","NGA","566","Africa","Sub-Saharan Africa",2018,195875008
"Nigeria","NGA","566","Africa","Sub-Saharan Africa",2019,200964000
"Niue","NIU","570","Oceania","Polynesia",2018,2000
"Niue","NIU","570","Oceania","Polynesia",2019,2000
"North America",NA,NA,NA,NA,2018,364296000
"North America",NA,NA,NA,NA,2019,366600992
"North Korea","PRK","408","Asia","Eastern Asia",2018,25550000
"North Korea","PRK","408","Asia","Eastern Asia",2019,25666000
"North Macedonia","MKD","807","Europe","Southern Europe",2018,2083000
"North Macedonia","MKD","807","Europe","Southern Europe",2019,2083000
"Northern Mariana Islands","MNP","580","Oceania","Micronesia",2018,57000
"Northern Mariana Islands","MNP","580","Oceania","Micronesia",2019,57000
"Norway","NOR","578","Europe","Northern Europe",2018,5338000
"Norway","NOR","578","Europe","Northern Europe",2019,5379000
"Oceania",NA,NA,NA,NA,2018,41571000
"Oceania",NA,NA,NA,NA,2019,42128000
"Oman","OMN","512","Asia","Western Asia",2018,4829000
"Oman","OMN","512","Asia","Western Asia",2019,4975000
"Pakistan","PAK","586","Asia","Southern Asia",2018,212228000
"Pakistan","PAK","586","Asia","Southern Asia",2019,216564992
"Palau","PLW","585","Oceania","Micronesia",2018,18000
"Palau","PLW","585","Oceania","Micronesia",2019,18000
"Palestine","PSE","275","Asia","Western Asia",2018,4863000
"Palestine","PSE","275","Asia","Western Asia",2019,4981000
"Panama","PAN","591","Americas","Latin America and the Caribbean",2018,4177000
"Panama","PAN","591","Americas","Latin America and the Caribbean",2019,4246000
"Papua New Guinea","PNG","598","Oceania","Melanesia",2018,8606000
"Papua New Guinea","PNG","598","Oceania","Melanesia",2019,8776000
"Paraguay","PRY","600","Americas","Latin America and the Caribbean",2018,6956000
"Paraguay","PRY","600","Americas","Latin America and the Caribbean",2019,7045000
"Peru","PER","604","Americas","Latin America and the Caribbean",2018,31989000
"Peru","PER","604","Americas","Latin America and the Caribbean",2019,32510000
"Philippines","PHL","608","Asia","South-eastern Asia",2018,106651000
"Philippines","PHL","608","Asia","South-eastern Asia",2019,108117000
"Poland","POL","616","Europe","Eastern Europe",2018,37922000
"Poland","POL","616","Europe","Eastern Europe",2019,37888000
"Portugal","PRT","620","Europe","Southern Europe",2018,10256000
"Portugal","PRT","620","Europe","Southern Europe",2019,10226000
"Puerto Rico","PRI","630","Americas","Latin America and the Caribbean",2018,3040000
"Puerto Rico","PRI","630","Americas","Latin America and the Caribbean",2019,2933000
"Qatar","QAT","634","Asia","Western Asia",2018,2782000
"Qatar","QAT","634","Asia","Western Asia",2019,2832000
"Reunion","REU","638","Africa","Sub-Saharan Africa",2018,883000
"Reunion","REU","638","Africa","Sub-Saharan Africa",2019,889000
"Romania","ROU","642","Europe","Eastern Europe",2018,19506000
"Romania","ROU","642","Europe","Eastern Europe",2019,19365000
"Russia","RUS","643","Europe","Eastern Europe",2018,145734000
"Russia","RUS","643","Europe","Eastern Europe",2019,145872000
"Rwanda","RWA","646","Africa","Sub-Saharan Africa",2018,12302000
"Rwanda","RWA","646","Africa","Sub-Saharan Africa",2019,12627000
"Saint Barthlemy",NA,NA,NA,NA,2018,10000
"Saint Barthlemy",NA,NA,NA,NA,2019,10000
"Saint Helena","SHN","654","Africa","Sub-Saharan Africa",2018,6000
"Saint Helena","SHN","654","Africa","Sub-Saharan Africa",2019,6000
"Saint Kitts and Nevis","KNA","659","Americas","Latin America and the Caribbean",2018,52000
"Saint Kitts and Nevis","KNA","659","Americas","Latin America and the Caribbean",2019,53000
"Saint Lucia","LCA","662","Americas","Latin America and the Caribbean",2018,182000
"Saint Lucia","LCA","662","Americas","Latin America and the Caribbean",2019,183000
"Saint Martin (French part)","MAF","663","Americas","Latin America and the Caribbean",2018,37000
"Saint Martin (French part)","MAF","663","Americas","Latin America and the Caribbean",2019,38000
"Saint Pierre and Miquelon","SPM","666","Americas","Northern America",2018,6000
"Saint Pierre and Miquelon","SPM","666","Americas","Northern America",2019,6000
"Saint Vincent and the Grenadines","VCT","670","Americas","Latin America and the Caribbean",2018,110000
"Saint Vincent and the Grenadines","VCT","670","Americas","Latin America and the Caribbean",2019,111000
"Samoa","WSM","882","Oceania","Polynesia",2018,196000
"Samoa","WSM","882","Oceania","Polynesia",2019,197000
"San Marino","SMR","674","Europe","Southern Europe",2018,34000
"San Marino","SMR","674","Europe","Southern Europe",2019,34000
"Sao Tome and Principe","STP","678","Africa","Sub-Saharan Africa",2018,211000
"Sao Tome and Principe","STP","678","Africa","Sub-Saharan Africa",2019,215000
"Saudi Arabia","SAU","682","Asia","Western Asia",2018,33703000
"Saudi Arabia","SAU","682","Asia","Western Asia",2019,34269000
"Senegal","SEN","686","Africa","Sub-Saharan Africa",2018,15854000
"Senegal","SEN","686","Africa","Sub-Saharan Africa",2019,16296000
"Serbia","SRB","688","Europe","Southern Europe",2018,8803000
"Serbia","SRB","688","Europe","Southern Europe",2019,8772000
"Seychelles","SYC","690","Africa","Sub-Saharan Africa",2018,97000
"Seychelles","SYC","690","Africa","Sub-Saharan Africa",2019,98000
"Sierra Leone","SLE","694","Africa","Sub-Saharan Africa",2018,7650000
"Sierra Leone","SLE","694","Africa","Sub-Saharan Africa",2019,7813000
"Singapore","SGP","702","Asia","South-eastern Asia",2018,5758000
"Singapore","SGP","702","Asia","South-eastern Asia",2019,5804000
"Sint Maarten (Dutch part)","SXM","534","Americas","Latin America and the Caribbean",2018,42000
"Sint Maarten (Dutch part)","SXM","534","Americas","Latin America and the Caribbean",2019,42000
"Slovakia","SVK","703","Europe","Eastern Europe",2018,5453000
"Slovakia","SVK","703","Europe","Eastern Europe",2019,5457000
"Slovenia","SVN","705","Europe","Southern Europe",2018,2078000
"Slovenia","SVN","705","Europe","Southern Europe",2019,2079000
"Solomon Islands","SLB","090","Oceania","Melanesia",2018,653000
"Solomon Islands","SLB","090","Oceania","Melanesia",2019,670000
"Somalia","SOM","706","Africa","Sub-Saharan Africa",2018,15008000
"Somalia","SOM","706","Africa","Sub-Saharan Africa",2019,15443000
"South Africa","ZAF","710","Africa","Sub-Saharan Africa",2018,57793000
"South Africa","ZAF","710","Africa","Sub-Saharan Africa",2019,58558000
"South Korea","KOR","410","Asia","Eastern Asia",2018,51172000
"South Korea","KOR","410","Asia","Eastern Asia",2019,51225000
"South Sudan","SSD","728","Africa","Sub-Saharan Africa",2018,10976000
"South Sudan","SSD","728","Africa","Sub-Saharan Africa",2019,11062000
"Spain","ESP","724","Europe","Southern Europe",2018,46693000
"Spain","ESP","724","Europe","Southern Europe",2019,46737000
"Sri Lanka","LKA","144","Asia","Southern Asia",2018,21229000
"Sri Lanka","LKA","144","Asia","Southern Asia",2019,21324000
"Sudan","SDN","729","Africa","Northern Africa",2018,41802000
"Sudan","SDN","729","Africa","Northern Africa",2019,42813000
"Suriname","SUR","740","Americas","Latin America and the Caribbean",2018,576000
"Suriname","SUR","740","Americas","Latin America and the Caribbean",2019,581000
"Sweden","SWE","752","Europe","Northern Europe",2018,9972000
"Sweden","SWE","752","Europe","Northern Europe",2019,10036000
"Switzerland","CHE","756","Europe","Western Europe",2018,8526000
"Switzerland","CHE","756","Europe","Western Europe",2019,8591000
"Syria","SYR","760","Asia","Western Asia",2018,16945000
"Syria","SYR","760","Asia","Western Asia",2019,17070000
"Taiwan","TWN","158","Asia","Eastern Asia",2018,23726000
"Taiwan","TWN","158","Asia","Eastern Asia",2019,23774000
"Tajikistan","TJK","762","Asia","Central Asia",2018,9101000
"Tajikistan","TJK","762","Asia","Central Asia",2019,9321000
"Tanzania","TZA","834","Africa","Sub-Saharan Africa",2018,56313000
"Tanzania","TZA","834","Africa","Sub-Saharan Africa",2019,58005000
